location,Year,Month,DSPS,surveyor_code,SURVEY_NUM,TAG_CNT,TAG_NUM,TAG_SURVEY_PERSDIVE
WELC,2018,2,0,34,50,1,118,4
WELC,2018,2,0,34,50,0,118,5
WELC,2018,2,0,34,50,0,118,6
WELC,2018,2,0,34,50,2,118,7
WELC,2018,2,0,34,50,0,118,8
WELC,2018,2,0,34,50,0,118,9
WELC,2018,2,0,34,50,1,118,10
WELC,2018,2,0,34,50,0,118,11
WELC,2018,2,0,34,50,0,118,12
WELC,2018,2,0,34,50,0,118,13
WELC,2018,2,0,34,50,0,118,14
WELC,2018,2,0,34,50,0,118,15
WELC,2018,2,0,34,50,0,118,16
WELC,2018,2,0,34,50,0,118,17
WELC,2018,2,0,34,50,0,118,18
WELC,2018,2,0,34,50,0,118,19
WELC,2018,2,0,34,50,2,118,20
WELC,2018,2,0,34,50,0,118,21
WELC,2018,2,1,5,50,0,118,1
WELC,2018,2,1,5,50,0,118,2
WELC,2018,2,1,5,50,0,118,3
WELC,2018,2,1,5,50,1,118,4
WELC,2018,2,1,5,50,0,118,5
WELC,2018,2,1,5,50,0,118,6
WELC,2018,2,1,5,50,0,118,7
WELC,2018,2,1,5,50,0,118,8
WELC,2018,2,1,5,50,2,118,9
WELC,2018,2,1,5,50,0,118,10
WELC,2018,2,1,5,50,2,118,11
WELC,2018,2,1,5,50,0,118,12
WELC,2018,2,1,5,50,1,118,13
WELC,2018,2,1,5,50,0,118,14
WELC,2018,2,1,5,50,0,118,15
WELC,2018,2,1,5,50,0,118,16
WELC,2018,2,1,5,50,0,118,17
WELC,2018,2,1,5,50,0,118,18
WELC,2018,2,1,5,50,0,118,19
WELC,2018,2,1,5,50,0,118,20
WELC,2018,2,1,5,50,0,118,21
WELC,2018,2,1,5,50,0,118,22
WELC,2018,2,1,5,50,0,118,23
WELC,2018,2,1,5,50,0,118,24
WELC,2018,2,1,5,50,4,118,25
WELC,2018,2,1,29,50,0,118,1
WELC,2018,2,1,29,50,0,118,2
WELC,2018,2,1,29,50,0,118,3
WELC,2018,2,1,29,50,0,118,4
WELC,2018,2,1,29,50,2,118,5
WELC,2018,2,1,29,50,1,118,6
WELC,2018,2,1,29,50,0,118,7
WELC,2018,2,1,29,50,2,118,8
WELC,2018,2,1,29,50,0,118,9
WELC,2018,2,1,29,50,2,118,10
WELC,2018,2,1,29,50,0,118,11
WELC,2018,2,1,29,50,1,118,12
WELC,2018,2,1,29,50,1,118,13
WELC,2018,2,1,29,50,0,118,14
WELC,2018,2,1,29,50,1,118,15
WELC,2018,2,1,29,50,0,118,16
WELC,2018,2,1,29,50,0,118,17
WELC,2018,2,1,29,50,0,118,18
WELC,2018,2,1,29,50,2,118,19
WELC,2018,2,1,29,50,1,118,20
WELC,2018,2,1,29,50,0,118,21
WELC,2018,2,1,26,50,0,118,1
WELC,2018,2,1,26,50,1,118,2
WELC,2018,2,1,26,50,0,118,3
WELC,2018,2,1,26,50,0,118,4
WELC,2018,2,1,26,50,0,118,5
WELC,2018,2,1,26,50,1,118,6
WELC,2018,2,1,26,50,0,118,7
WELC,2018,2,1,26,50,0,118,8
WELC,2018,2,1,26,50,0,118,9
WELC,2018,2,1,26,50,1,118,10
WELC,2018,2,1,26,50,0,118,11
WELC,2018,2,1,26,50,0,118,12
WELC,2018,2,1,26,50,1,118,13
WELC,2018,2,1,26,50,2,118,14
WELC,2018,2,1,26,50,0,118,15
WELC,2018,2,1,26,50,2,118,16
WELC,2018,2,1,26,50,1,118,17
WELC,2018,2,1,26,50,0,118,18
WELC,2018,2,1,26,50,0,118,19
WELC,2018,2,1,26,50,0,118,20
WELC,2018,2,1,26,50,3,118,21
WELC,2018,2,1,26,50,1,118,22
WELC,2018,2,1,26,50,0,118,23
WELC,2018,2,1,26,50,0,118,24
WELC,2018,2,1,26,50,1,118,25
